Time 		 MSD 
5	8.707033134388943e-07
10	1.7340826812832838e-06
15	2.685912641735592e-06
20	3.5710720593107497e-06
25	4.437106073671874e-06
30	5.1580932612027736e-06
35	6.045434815620528e-06
40	6.899244031978104e-06
45	7.785392528692214e-06
50	8.561823315589078e-06
55	9.512064617025707e-06
60	1.0442606424955195e-05
65	1.123276181037331e-05
70	1.1990358560461362e-05
75	1.2829924236702723e-05
80	1.3695975929183038e-05
85	1.4599014939722679e-05
90	1.54328116917459e-05
95	1.6149136449381126e-05
100	1.6968615945605983e-05
