Time 		 part_1 		 part_2 		 part_3 		 
5	8.811109694479856e-07	8.596462086598096e-07	8.713527622088877e-07
10	1.7832409973404207e-06	1.6881497640449708e-06	1.7308572824644598e-06
15	2.720725054955808e-06	2.6526302094960238e-06	2.684382660754946e-06
20	3.5805792878246734e-06	3.6142061374743742e-06	3.5184307526332006e-06
25	4.511005734746143e-06	4.4414290557322214e-06	4.358883430537255e-06
30	5.348468689594369e-06	5.06229677928708e-06	5.063514314726872e-06
35	6.030149070966233e-06	6.066720146091226e-06	6.039435229804127e-06
40	6.976633883690156e-06	6.919660725681991e-06	6.801437486562168e-06
45	7.901896416599295e-06	7.789601008064172e-06	7.664680161413175e-06
50	8.831197165601812e-06	8.478191116592015e-06	8.376081664573411e-06
55	9.830005651716466e-06	9.434945331201439e-06	9.27124286815922e-06
60	1.0797447884166787e-05	1.041643514238707e-05	1.0113936248311728e-05
65	1.1591141349582888e-05	1.1155306303646527e-05	1.0951837777890512e-05
70	1.2364153788242444e-05	1.1894914664673593e-05	1.1712007228468047e-05
75	1.3258309692507605e-05	1.2689634516089422e-05	1.2541828501511143e-05
80	1.4203047553062092e-05	1.3655909922295754e-05	1.3228970312191267e-05
85	1.5066924447163764e-05	1.4764522494469363e-05	1.3965597877534913e-05
90	1.5709690161565154e-05	1.579289147445611e-05	1.4795853439216444e-05
95	1.6283352310678176e-05	1.6497391930691052e-05	1.5666665106774145e-05
100	1.725383057115359e-05	1.713652325610081e-05	1.6515494009563542e-05
