Time 		 SEM 
5	8.77497679776758e-09
10	3.888777066180555e-08
15	2.782064731931825e-08
20	3.9673850589363493e-08
25	6.21788548724614e-08
30	1.3461667405290565e-07
35	1.5521107272050533e-08
40	7.296608996881439e-08
45	9.688884148032632e-08
50	1.9498425295545696e-07
55	2.3454139685308525e-07
60	2.796554321669911e-07
65	2.6667930907913123e-07
70	2.746584992176712e-07
75	3.0886591324310474e-07
80	3.9867328434575674e-07
85	4.645963238850711e-07
90	4.51676489105297e-07
95	3.521715368600456e-07
100	3.2396488311066345e-07
